,Country,Year,A,B,C10_12,C13_15,C16_18,C19,C20_21,C22_23,C24_25,C26,C27,C28,C29_30,C31_33,D,E,F,G,H,I,J58_60,J61,J62_63,K,L68,M,N,O84,P85,Q,R_S,T_U,VA_labour,VA_rest,Nuclear,Hydro,Wind,Solar,Other,Coal,Gas,Oil,Bio_Rest,Bio_Gas,Sector_Size,Gas_FC,Population,GDP_pC,Gas_FC_pC
1,AT,2010,0.00221504,0.038522469,0.000800789,0.000159078,0.004259507,0.007871137,0.001468345,0.003058324,0.005633039,0.001590675,0.016418852,0.003936509,0.000609631,0.011671,0.538246338,0.015524296,0.011222155,0.017499308,0.027991696,0.006168303,0.000913575,0.001932726,0.004965343,0.021268623,0.003694392,0.014867085,0.00810183,0.001353504,0.002899629,0.00018872,0.000514539,1.39328193585936e-07,0.08028101,0.144152397,0,0.499202318,0.025439474,0.001290878,0.019127386,0.067073594,0.237975793,0.024621746,0.117114425,0.008154387,81130.3725,220531.258,8351643,31802.5,0.026405733
2,BE,2010,0.000750367,0.010077023,0.001539977,0.000339093,0.002607182,0.005420075,0.021862567,0.003429358,0.008083932,0.004308508,0.01866711,0.003346198,0.000991167,0.013966393,0.070177291,0.018468149,0.046142851,0.068032643,0.028083082,0.002853545,0.003155473,0.010120123,0.003761478,0.014921803,0.003832694,0.10437755,0.020277264,0.003489818,0.001933447,0.000125444,0.003421421,9.34713039016925e-06,0.137063279,0.364364347,0.491141948,0.017087118,0.013122661,4.09763013561107e-05,0.02258369,0.058278545,0.369111848,0.001496773,0.024230653,0.002905789,97617.4,464305,10839905,30150.8,0.04283294
3,BG,2010,0.000407199,0.30117051,0.001111595,0.001063624,0.001403002,0.030506275,0.002086721,0.009908136,0.019602059,0.006610019,0.042329376,0.01139302,0.004228857,0.010083201,0.012438172,0.003260072,0.019073555,0.045241522,0.068929354,0.00294909,0.001329392,0.00487012,0.006197031,0.047693537,0.003770104,0.005492359,0.002654098,0.001821505,0.000233236,7.6367003830205e-05,0.000572339,4.41109047394686e-06,0.130878984,0.200611157,0.249244536,0.091480512,0.010942953,0.000241034,0,0.460511903,0.157515155,0.029766831,0.000297076,0,62231.83333,49226,7421766,11111.1,0.006632653
4,CZ,2010,0.002756456,0.123777418,0.001059459,0.00119407,0.001352712,0.014635958,0.004762549,0.003068721,0.009617787,0.004338052,0.023048519,0.019746951,0.00268443,0.007710457,0.187418183,0.008155485,0.013800565,0.024248596,0.104172406,0.002866904,0.000720852,0.00343301,0.001766315,0.019700936,0.008399753,0.010664967,0.003697874,0.002027879,0.001459133,0.000178447,0.000420932,2.11258060897909e-06,0.050983568,0.336128542,0.249570225,0.023763552,0.002955007,0.005433685,0.003671952,0.612414266,0.083968276,0.004564825,0.013012324,0.000645887,113366.8889,283233,10462088,21015.8,0.027072321
5,DE,2010,0.00013018,0.053420036,0.000650374,0.000156744,0.002109413,0.015843575,0.003413377,0.009831836,0.014364142,0.004371362,0.024864385,0.007726995,0.002358981,0.011186376,0.176707289,0.002380375,0.023362646,0.035319988,0.039716076,0.001528296,0.001447838,0.001977432,0.004587986,0.024750305,0.014360204,0.029402699,0.026176545,0.059503898,0.000796895,0.0001539,0.003245273,1.15574469096645e-05,0.116220848,0.287922173,0.194356564,0.03730021,0.05330162,0.016242012,0.039482374,0.415743508,0.193860764,0.00764687,0.017553799,0.02451228,723186.2778,2511746,81802257,30028.5,0.030705094
6,DK,2010,0.00857739,0.234606144,0.000707556,0.000428882,0.005724807,0.008859276,0.000749184,0.001854865,0.0028889,0.000893833,0.00091755,0.004891748,0.000538202,0.006188152,0.073032943,0.00922343,0.038465339,0.009746933,0.006354665,0.005436991,0.000806747,0.000848252,0.002839613,0.054461693,0.001257864,0.026671954,0.005946783,0.002442601,0.000711509,7.189205815104e-05,0.003462554,1.70465704894219e-05,0.093868793,0.38650591,0,0.000291985,0.108576648,0.000552299,0.032278955,0.376644993,0.268662356,0.024514367,0.18134588,0.007132517,71921.54261,81248,5534738,32549.6,0.014679647
7,EE,2010,0.000942707,0.155403482,0.000987786,0.000522759,0.030720222,0.022409059,0.00414016,0.004668455,0.01467997,0.004222409,0.036794828,0.029701592,0.002124254,0.009968018,0.150437663,0.001540598,0.008258966,0.023104226,0.013145699,0.000625571,0.000911863,0.004201056,0.004231109,0.0350059,0.006844906,0.013483397,0.011464327,0.00137689,0.001072408,0.000557557,0.000519596,1.58172287582526e-06,0.085672438,0.320258548,0,0.001390912,0.014218213,0,0,0.069677257,0.153435353,0.644501747,0.115388468,0.00138805,19411.72222,9633,1333290,15638.3,0.007224985
8,ES,2010,0.000779006,0.0636104,0.003910819,0.000717959,0.00335673,0.065996091,0.016545324,0.003494681,0.013642737,0.002512244,0.007393758,0.00751303,0.002422567,0.005838526,0.309710163,0.003943248,0.01310083,0.043613204,0.014568738,0.000779612,0.002268208,0.016189545,0.001843095,0.019863347,0.001718469,0.013539776,0.020379982,0.002270107,0.003134056,0.000909235,0.003953985,1.19753909844714e-06,0.056897918,0.273581413,0.235947264,0.170000784,0.168329856,0.027257066,0.00109619,0.09718028,0.24879324,0.049869028,0.00123702,0.000289272,262728.2,667428,46486619,23985.6,0.014357422
9,FI,2010,0.012157882,0.113057749,0.00483619,0.000571183,0.028925641,0.037654216,0.043166096,0.004059014,0.003449163,0.005330388,0.000605322,0.008162036,0.001122627,0.026188396,0.038157122,0.000613334,0.027025838,0.01920333,0.008446641,0.000698216,0.005350244,0.000536929,0.005871961,0.016926376,0.007640319,0.029338207,0.015822212,0.006273961,0.000134,9.57971858618681e-05,0.00081387,2.15979109943121e-05,0.087880623,0.43986352,0.185516932,0.098144966,0.002392192,0,0.015836745,0.322139032,0.179404004,0.03137424,0.164511117,0.000680771,122899.8333,36837,5351427,29482.9,0.006883585
10,FR,2010,0.00037322,0.063308552,0.001193538,0.000633032,0.000867325,0.009722069,0.051144111,0.007794145,0.00696187,0.003783977,0.005254207,0.010445202,0.001223344,0.0011939,0.429051549,0.004937035,0.014289563,0.029964451,0.019609966,0.005725767,0.002419152,0.00310793,0.004714709,0.007484831,0.002383515,0.020499023,0.02179505,0.002785181,0.004764329,0.000494868,0.00276835,1.75347669564401e-05,0.101941959,0.157346744,0.724252068,0.113055192,0.01600375,0.000175773,0.007724662,0.047137081,0.068927334,0.015606575,0.006746679,0.000370888,591673.8367,1488924,64658856,27179,0.023027379
